timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136652124,8954,Add Product,201,Created,Product Queue Test 4-61,text,true,,378,519,38,304,http://localhost:3000/products,8954,0,2
1779136652225,8882,Add Product,201,Created,Product Queue Test 4-62,text,true,,378,519,37,299,http://localhost:3000/products,8882,0,4
1779136652324,8797,Add Product,201,Created,Product Queue Test 4-63,text,true,,378,519,36,295,http://localhost:3000/products,8797,0,4
1779136652424,8788,Add Product,201,Created,Product Queue Test 4-64,text,true,,378,519,35,276,http://localhost:3000/products,8788,0,2
1779136652524,8728,Add Product,201,Created,Product Queue Test 4-65,text,true,,378,519,34,268,http://localhost:3000/products,8728,0,3
1779136652626,8633,Add Product,201,Created,Product Queue Test 4-66,text,true,,378,519,33,266,http://localhost:3000/products,8633,0,3
1779136652724,8555,Add Product,201,Created,Product Queue Test 4-67,text,true,,378,519,32,264,http://localhost:3000/products,8555,0,4
1779136652823,8488,Add Product,201,Created,Product Queue Test 4-68,text,true,,378,519,31,257,http://localhost:3000/products,8488,0,3
1779136652924,8411,Add Product,201,Created,Product Queue Test 4-69,text,true,,378,519,30,252,http://localhost:3000/products,8411,0,2
1779136653023,8346,Add Product,201,Created,Product Queue Test 4-70,text,true,,378,519,29,245,http://localhost:3000/products,8346,0,2
1779136653226,8208,Add Product,201,Created,Product Queue Test 4-72,text,true,,378,519,28,231,http://localhost:3000/products,8208,0,3
1779136653125,8311,Add Product,201,Created,Product Queue Test 4-71,text,true,,378,519,27,230,http://localhost:3000/products,8311,0,2
1779136653323,8124,Add Product,201,Created,Product Queue Test 4-73,text,true,,378,519,26,226,http://localhost:3000/products,8124,0,2
1779136653523,8001,Add Product,201,Created,Product Queue Test 4-75,text,true,,378,519,25,215,http://localhost:3000/products,8001,0,3
1779136653424,8106,Add Product,201,Created,Product Queue Test 4-74,text,true,,378,519,24,214,http://localhost:3000/products,8106,0,5
